YEAR,LOCATION,RESOURCE,TYPE OF SUPPORT,FUNDING PROGRAM,MODALIDAD,ENTITY,"GOVERNMENT PROJECT 
ID",PROJECT NAME,STARTING DATE,"CLOSING 
DATE",EXTENSION,"TOTAL PROJECT AMOUNT
MXN","FEDERAL SUPPORT
MXN","STATE SUPPORT
MXN","GOVERNMENT SUPPORT
MXN","CONTINENTAL 
PAYMENT 
MXN",NEW HIRES,STATUS,FECHA CARTA FINIQUITO,"VENCIMIENTO 
DE PROYECTO",AUDITABLE,"DESTRUCCION 
DE 
EXPEDIENTE"
2013,GDL,FEDERAL,Infrastructure,PRODIAT,null,null,null,PRODIAT,null,null,NA,$0.00,$0.00,$0.00,$0.00,$0.00,0,REVIEW,-,-,Auditable,-
2013,GDL,FEDERAL,Infrastructure,PEI,INNOVATEC,CONACYT,196096,INNOVATEC,01/01/2013,31/12/2013,NA,"$104,250,000.00","$36,000,000.00",$0.00,"$36,000,000.00","$68,250,000.00",47,CLOSED,04/02/2016,04/02/2021,No Auditable,05/02/2021
2013,GDL,FEDERAL,Infrastructure,PROSOFT,NA,SE,20139514,R&D New Site II,07/08/2013,07/08/2014,NA,"$23,260,810.00","$6,978,270.00",$0.00,"$6,978,270.00","$16,282,540.00",250,CLOSED,04/07/2016,04/07/2021,No Auditable,05/07/2021
2014,GDL,FEDERAL,Infrastructure,PEI,INNOVATEC,CONACYT,210328,INNOVATEC,01/01/2016,31/12/2016,NA,"$105,733,333.33","$36,000,000.00",$0.00,"$36,000,000.00","$69,733,333.33",30,CLOSED,18/05/2015,18/05/2020,No Auditable,19/05/2020
2014,GDL,STATE,Infrastructure,PROSOFT,N/A,"SE / 
COECYTJAL",201411525,R&D New Site III,12/08/2014,11/08/2015,NA,"$14,991,980.00","$4,497,590.00","$2,998,390.00","$7,495,980.00","$7,496,000.00",100,CLOSED,"08-mar-17
19-may-17",19/05/2022,No Auditable,20/05/2022
2014,GDL,FEDERAL,Infrastructure,PROSOFT,NA,SE  ,201411919,R&D New Site IV,23/07/2014,23/07/2015,NA,"$8,955,340.00","$2,686,600.00",$0.00,"$2,686,600.00","$6,268,740.00",100,CLOSED,02/08/2017,02/08/2022,No Auditable,03/08/2022
2014,GDL,STATE,Intellectual Property,CAPITAL INTELECTUAL,N/A,COECYTJAL,2947-2014,20 Patent Applications,01/09/2014,30/06/2015,NA,"$800,000.00",$0.00,"$800,000.00","$800,000.00",$0.00,0,CLOSED,18/05/2016,18/05/2021,No Auditable,19/05/2021
2016,GDL,FEDERAL,Infrastructure,PEI,INNOVATEC,CONACYT,231255,CHASIS,null,null,null,$0.00,$0.00,$0.00,$0.00,$0.00,50,DECLINED,NA,NA,NA,NA
2015,GDL,FEDERAL,Infrastructure,PEI,INNOVATEC,CONACYT,220246,INTERIOR,null,null,null,$0.00,$0.00,$0.00,$0.00,$0.00,0,CANCELLED,NA,NA,NA,NA
2015,GDL,FEDERAL,Infrastructure,PROSOFT,NA,SE  ,201513106,CANIETI,25/09/2015,25/09/2016,23-mar-17,"$35,436,863.79","$8,859,215.95",$0.00,"$8,859,215.95","$26,577,647.84",105,CLOSED,06/09/2018,06/09/2023,No Auditable,07/09/2023
2015,GDL,FEDERAL,Infrastructure,PROSOFT,NA,SE  ,201514026,CANIETI EMC,09/10/2015,07/10/2016,07-abr-17,"$27,511,385.34","$6,877,846.34",$0.00,"$6,877,846.34","$20,633,539.00",40,CLOSED,06/09/2018,06/09/2023,No Auditable,07/09/2023
2015,GDL,STATE,Infrastructure,PROSOFT,N/A,"SE / 
COECYTJAL",201513005,JALISCO,12/08/2015,10/08/2016,NA,"$19,907,167.86","$4,976,791.96","$4,976,791.96","$9,953,583.92","$9,953,583.94",130,CLOSED,"Federal: 23-Mar-18
Estatal: 24-Jul-2019",24/07/2024,No Auditable,25/07/2024
