Proyecto (TAE),Curso ,Proovedor ,RFC,Duración ,Cupo (Comprometido),Cupo (Reales) ,Monto total (ejercido),Hombres ,Mujeres ,"<=$100,000.00",">$100,000.00",Aportación Coecytjal ,% Coecytjal,Planta ,CoC,,,,,
2023,Driving Automotive Cybersecurity Excellence,General Physics,GPC971119H4,264.00,17.00,17.00," $209,472.00 ",16.00,1.00,No,Sí," $104,736.00 ",50.00%,Santa Anita ,Cybersecurity,,,,,
2023,Linux (PLAi),PLAi,PAI191229QC8,2.00,50.00,50.00," $63,014.00 ",43.00,7.00,Sí,No," $31,507.00 ",50.00%,Santa Anita ,SW + SYS Architecture,,,,,
2023,Power BI ,General Physics,GPC971119H4,20.00,8.00,8.00," $24,646.96 ",2.00,6.00,Sí,No," $12,323.48 ",50.00%,Santa Anita ,Otros ,,,,,
2023,Análisis Tolerancias Estadísticas ,General Physics,GPC971119H4,8.00,10.00,10.00," $11,900.00 ",8.00,2.00,Sí,No," $5,950.00 ",50.00%,Santa Anita ,Functional safety Management ,,,,,
2023,GD&T básico/intermedio,General Physics,GPC971119H4,24.00,8.00,8.00," $69,720.00 ",8.00,0.00,Sí,No," $34,860.00 ",50.00%,Santa Anita ,Functional safety Management ,,,,,
2023,Fault Tree Analysis,General Physics,GPC971119H4,30.00,9.00,9.00," $137,025.00 ",9.00,0.00,No,Sí," $68,512.50 ",50.00%,Santa Anita ,Functional safety Management ,,,,,
2023,Manejo de Datos con Power BI ,General Physics,GPC971119H4,20.00,15.00,15.00," $79,900.00 ",12.00,3.00,Sí,No," $39,950.00 ",50.00%,Santa Anita ,Otros ,,,,,
2023,Power BI Principiantes ,General Physics,GPC971119H4,20.00,32.00,32.00," $45,675.18 ",21.00,11.00,Sí,No," $22,837.59 ",50.00%,Tijera,Otros ,,,,,
2023,Power BI Intermedio ,General Physics,GPC971119H4,21.00,16.00,16.00," $130,398.40 ",14.00,2.00,No,Sí," $65,199.20 ",50.00%,Tijera,Otros ,,,,,
2023,Power BI Avanzado ,General Physics,GPC971119H4,21.00,16.00,16.00," $131,887.36 ",14.00,2.00,No,Sí," $65,943.68 ",50.00%,Tijera,Otros ,,,,,
2024,Ciberseguridad en sistemas embebidos automotrices ,ITESO,ITE570731PS9,125.00,20.00,20.00," $505,500.00 ",19.00,1.00,No,Sí," $217,365.00 ",43.00%,Santa Anita ,Cybersecurity,,,,,
